coin,symbol,price,1h,24h,7d,24h_volume,mkt_cap,date
Bitcoin SV,BSV,77.11,0.013,0.015,-0.019,135219354,1461042552,3/16/2022
NEO,NEO,20.13,0.024,0.028,-0.017,148274906,1406977569,3/16/2022
TrueUSD,TUSD,1,0,0.001,0.001,114862495,1404670246,3/16/2022
Huobi Token,HT,8.98,0.01,0.009,-0.025,32112940,1392164927,3/16/2022
KuCoin Token,KCS,18.41,0.014,0.009,0.02,8578734,1390455505,3/16/2022
Celsius Network,CEL,3.18,0.009,0.032,0.098,3927635,1346075894,3/16/2022
Stacks,STX,1.26,0.018,0.026,0.183,44370134,1317492670,3/16/2022
Humans.ai,HEART,0.044270475,0.025,0.086,-0.547,1852838,1309127902,3/16/2022
Enjin Coin,ENJ,1.4,0.018,0.05,0.046,133821819,1300650179,3/16/2022
Basic Attention Token,BAT,0.822605,0.021,0.055,0.251,324813983,1223583998,3/16/2022
NEXO,NEXO,2.19,0.015,0.031,0.098,4583402,1222563065,3/16/2022
Amp,AMP,0.025036138,0.018,0.007,0.003,8084731,1198878147,3/16/2022
Radix,XRD,0.121859,0.015,0.064,-0.001,215995,1198319388,3/16/2022
Kusama,KSM,126.84,0.025,0.04,0.038,65896976,1132594631,3/16/2022
Celo,CELO,2.52,0.022,0.037,-0.076,46620149,1074226736,3/16/2022
Kadena,KDA,6.23,0.024,0.009,0.031,58659719,1061714057,3/16/2022
Chiliz,CHZ,0.198241,0.026,0.024,0.02,109408277,1049331415,3/16/2022
Dash,DASH,97.64,0.016,0.005,0.03,245449241,1035525179,3/16/2022
Frax Share,FXS,17.92,0.006,-0.011,0.006,4834916,1031430071,3/16/2022
Pax Dollar,USDP,0.999025,-0.002,0.001,-0.001,57639449,994783973,3/16/2022
BitDAO,BIT,1.12,0.025,0.019,0.036,54570658,993438990,3/16/2022
GateToken,GT,6.52,0.012,0.031,-0.005,7695401,979761512,3/16/2022
Convex Finance,CVX,18.29,0.038,0.054,0.147,45253981,979304335,3/16/2022
Synthetix Network Token,SNX,4.24,0.053,0.079,0.084,63349615,903998693,3/16/2022
Xido Finance,XIDO,30.86,-0.027,-0.049,0.766,1464061,893636559,3/16/2022
Loopring,LRC,0.710702,0.03,0.035,-0.033,112235393,881663508,3/16/2022
NEM,XEM,0.098240606,0.021,0.043,0.037,20866042,879585159,3/16/2022
Anchor Protocol,ANC,3.1,0.06,0.088,-0.18,107525684,807556039,3/16/2022
Oasis Network,ROSE,0.227889,0.036,0.07,0.027,65843862,794382929,3/16/2022
Curve DAO Token,CRV,2.02,0.026,0.022,-0.006,150926378,791197822,3/16/2022
Decred,DCR,56.87,0.02,0.143,0.088,25032753,787162797,3/16/2022
cUSDT,CUSDT,0.021768404,0,0,0,8111.5,775425368,3/16/2022
Secret,SCRT,4.61,0.017,0.008,0.027,19871872,763750478,3/16/2022
LINK,LN,129.46,0.036,0.018,0.024,1207902,759436472,3/16/2022
Mina Protocol,MINA,1.81,0.015,0.105,-0.004,70360743,756143474,3/16/2022
Holo,HOT,0.004147966,0.027,0.027,0.028,63199499,734353201,3/16/2022
Compound,COMP,109.58,0.026,0.045,0.052,40756551,726097698,3/16/2022
IoTeX,IOTX,0.076638518,0.042,0.007,0.117,91722669,717099434,3/16/2022
Bitkub Coin,KUB,7.89,0.004,0,-0.034,2193655,698922310,3/16/2022
Neutrino USD,USDN,1,0.003,-0.001,0.007,15319422,687954763,3/16/2022
yearn.finance,YFI,18982.86,0.017,0.017,-0.014,81875140,678377900,3/16/2022
Nexus Mutual,NXM,92.51,0.026,0.035,0.065,1909.73,633750394,3/16/2022
XDC Network,XDC,0.050635432,-0.002,-0.022,0.097,9930593,616292915,3/16/2022
1inch,1INCH,1.5,0.021,0.111,0.163,120457113,616145134,3/16/2022
WAX,WAXP,0.274089,0.021,0.02,0,26837225,615219740,3/16/2022
Smooth Love Potion,SLP,0.016547553,0.019,0.018,-0.076,99341158,614525601,3/16/2022
Qtum,QTUM,5.95,0.029,0.023,0.036,79032386,612948390,3/16/2022
PAX Gold,PAXG,1935.78,0.007,0.005,-0.057,30748651,611668819,3/16/2022
Sushi,SUSHI,3.12,0.036,0.069,0.082,132202954,603245561,3/16/2022
renBTC,RENBTC,40555.22,0.016,0.034,0.048,14829115,602582895,3/16/2022
Livepeer,LPT,23.82,0.03,0.023,0.024,11291907,589774119,3/16/2022
Ankr,ANKR,0.072181813,0.023,0.016,-0.064,40789205,587511707,3/16/2022
Bancor Network Token,BNT,2.29,0.017,0.033,0.062,26117403,583581643,3/16/2022
Pocket Network,POKT,0.699085,0.019,-0.003,-0.055,974551,580439408,3/16/2022
Marinade staked SOL,MSOL,88.63,0.025,0.014,0.043,18662090,578275391,3/16/2022
OMG Network,OMG,4.11,0.019,0.016,0.081,106689838,574825195,3/16/2022
Zilliqa,ZIL,0.041008132,0.033,0.032,0.047,37965285,571307984,3/16/2022
SafeMoon,SFM,0.001028389,0.038,-0.034,-0.088,406894,566255393,3/16/2022
Render Token,RNDR,2.43,0.024,0.035,-0.031,23720000,560228533,3/16/2022
Fei USD,FEI,1,0.001,0,0.003,10254055,557210659,3/16/2022
Gnosis,GNO,298.83,0.021,0.025,-0.003,2883611,553256284,3/16/2022
ICON,ICX,0.753601,0.026,-0.013,0.21,45059623,549632622,3/16/2022
Ravencoin,RVN,0.051804162,0.027,0.042,0.006,19390191,538520749,3/16/2022
IOST,IOST,0.02256876,0.025,0.011,0.015,35343794,517770891,3/16/2022
Bitcoin Gold,BTG,29.74,0.018,0.028,0.032,9146317,517358240,3/16/2022
Kava,KAVA,3.16,0.023,0.035,0.034,22753924,504959645,3/16/2022
UMA,UMA,7.74,0.018,0.018,-0.016,46067620,503487995,3/16/2022
OEC Token,OKT,32.27,0.023,0.01,-0.062,5163788,488521386,3/16/2022
Songbird,SGB,0.062799688,0.022,0.006,-0.137,2629530,486741272,3/16/2022
e-Radix,EXRD,0.122181,0.022,0.063,0.004,2588295,484119330,3/16/2022
Velas,VLX,0.213154,0,0.004,-0.037,4105033,483094532,3/16/2022
Rocket Pool,RPL,30.03,0.024,0.041,0.15,578038,480593962,3/16/2022
Tether Gold,XAUT,1950.12,0.003,-0.002,-0.044,3689853,480346972,3/16/2022
Moonbeam,GLMR,2.38,0.023,0.038,-0.036,37324761,476681084,3/16/2022
Sapphire,SAPP,0.564647,0.02,0.001,0.014,432768,470978131,3/16/2022
Horizen,ZEN,38.73,0.015,0.061,0.026,29127070,469969529,3/16/2022
WOO Network,WOO,0.492556,0.019,0.087,0.124,60339780,467152311,3/16/2022
Liquity USD,LUSD,1,0,0,-0.008,3222808,464727068,3/16/2022
Golem,GLM,0.465346,0.016,0.022,-0.085,15905189,464458665,3/16/2022
Rally,RLY,0.180078,0.026,0.001,-0.058,3356848,464413872,3/16/2022
Baby Doge Coin,BABYDOGE,2.86E-09,0.026,0.021,-0.039,10651029,452640717,3/16/2022
Audius,AUDIO,0.735289,0.027,0.026,0.02,7909768,447883958,3/16/2022
Siacoin,SC,0.008880297,0.018,0.022,-0.004,12295120,446937901,3/16/2022
Metis Token,METIS,146.38,0.026,0.009,-0.047,38905039,436965500,3/16/2022
Ontology,ONT,0.499727,0.021,0.029,-0.011,30824913,433758425,3/16/2022
0x,ZRX,0.509791,0.025,0.035,0.028,29309302,427933388,3/16/2022
APENFT,NFT,1.52E-06,0.004,0.005,-0.047,69002807,421365369,3/16/2022
SKALE,SKL,0.12635,0.013,0.043,0.112,11283316,407687711,3/16/2022
SwissBorg,CHSB,0.428284,0.022,0.026,-0.054,1063375,403883855,3/16/2022
dYdX,DYDX,4.64,0.029,0.032,-0.036,95015055,396760804,3/16/2022
Dogelon Mars,ELON,7.24E-07,0.043,0.072,0.028,10950097,394017729,3/16/2022
Olympus,OHM,28.12,0.014,-0.019,-0.086,3529301,390854092,3/16/2022
Constellation,DAG,0.152116,0.013,-0.013,0.249,1019712,382521151,3/16/2022
Synapse,SYN,2.17,0.012,-0.078,0,9229483,380868743,3/16/2022
Immutable X,IMX,1.57,0.043,0.012,0.049,87629552,365315958,3/16/2022
Convex CRV,CVXCRV,1.95,0.038,0.021,0.007,96902.91,364340007,3/16/2022
Everdome,DOME,0.042328407,-0.004,0.09,-0.07,44769576,363656510,3/16/2022
Gemini Dollar,GUSD,1,0.003,0.001,0.001,3181078,355825684,3/16/2022
JUST,JST,0.048936164,0.013,0.005,0.033,74944693,355779812,3/16/2022
Decentralized Social,DESO,33.97,0.005,0.111,0.192,768392,354095011,3/16/2022
Polymath,POLY,0.384838,0.017,0.014,-0.036,12205658,344258737,3/16/2022
NuCypher,NU,0.419373,0.004,0.01,-0.098,4321357,342894249,3/16/2022
REN,REN,0.338855,0.032,0.012,-0.012,41048178,337192089,3/16/2022
Keep Network,KEEP,0.609779,0.012,0.019,-0.066,2299639,333366751,3/16/2022
Illuvium,ILV,519.92,0.023,0.038,0.033,11072513,332435430,3/16/2022
Flux,FLUX,1.43,0.016,0.022,0.087,15489371,330216558,3/16/2022
Ethereum Name Service,ENS,14.05,0.04,0.043,0.016,39284120,326307175,3/16/2022
Hive,HIVE,0.869127,0.015,0.041,0.011,12455971,322775766,3/16/2022
Lido DAO,LDO,2.98,0.041,0.085,0.515,4675420,321983024,3/16/2022
STEPN,GMT,0.534126,0.073,0.573,2.935,1013704817,318571623,3/16/2022
Spell Token,SPELL,0.003547902,0.015,0.009,-0.059,27285439,317144040,3/16/2022
Nervos Network,CKB,0.010554841,0.014,0.02,-0.015,6162463,316458006,3/16/2022
Kyber Network Crystal,KNC,3.06,0.025,0.008,0.002,40287449,313785580,3/16/2022
FLEX Coin,FLEX,3.97,0.002,0.006,-0.002,1326196326,311600507,3/16/2022
HUSD,HUSD,0.999103,0,0.001,0,43235094,310668205,3/16/2022
Ultra,UOS,1.15,0.01,0.024,-0.037,8976424,308351253,3/16/2022
ConstitutionDAO,PEOPLE,0.060612313,0.061,0.102,0.075,143678395,307184638,3/16/2022
LooksRare,LOOKS,1.29,0.086,0.177,0.231,48697099,306843547,3/16/2022
DeFi Kingdoms,JEWEL,4.16,0.04,0.016,-0.074,11440253,302825745,3/16/2022
Telcoin,TEL,0.004899527,0.008,0.027,-0.011,2843059,301743735,3/16/2022
Tomb,TOMB,1.18,0.031,0.01,-0.054,14140774,300452818,3/16/2022
Stargaze,STARS,0.401895,0.014,-0.005,-0.125,1726553,300351592,3/16/2022
DigiByte,DGB,0.01966813,0.03,0.018,0.059,15693285,297257419,3/16/2022
DigitalBits,XDB,0.389141,0.023,0.216,0.209,3821494,296998483,3/16/2022
Syscoin,SYS,0.468329,0.023,-0.031,-0.074,12673226,296323527,3/16/2022
Lisk,LSK,2.03,0.015,0.006,0.019,7600165,293297599,3/16/2022
Tokemak,TOKE,25.32,0.03,0.076,-0.004,6123881,292863833,3/16/2022
Nano,XNO,2.2,-0.006,0.288,0.312,109830513,292516870,3/16/2022
Tenset,10SET,3.3,0.016,0.03,0.434,3059468,289328276,3/16/2022
PlayDapp,PLA,0.797778,0.021,0.04,-0.013,17641285,288940736,3/16/2022
SafeMoon [OLD],SAFEMOON,5.06E-07,0.02,0.025,0.003,3503.42,277800683,3/16/2022
Ronin,RON,1.86,0.023,0.029,-0.004,2243276,276423433,3/16/2022
Persistence,XPRT,3.3,0.012,0.045,0.038,2580206,273550379,3/16/2022
Radio Caca,RACA,0.001341144,0.028,0.041,0.099,15540182,273386276,3/16/2022
Pirate Chain,ARRR,1.44,0.023,0.028,0.312,1431339,269625697,3/16/2022
MAI,MIMATIC,0.99909,0.002,0.006,0.002,11703582,269555684,3/16/2022
Casper Network,CSPR,0.063408018,0.023,0.101,0.019,11186869,262580070,3/16/2022
Everscale,EVER,0.191627,-0.011,-0.009,0.001,6416.99,261949792,3/16/2022
SXP,SXP,1.34,0.022,0.059,0.038,71885529,258788391,3/16/2022
Floki Inu,FLOKI,2.83E-05,0.04,0.042,-0.037,6481180,257703958,3/16/2022
Zenon,ZNN,5.35,0.011,0.025,-0.019,42667.91,257245207,3/16/2022
Injective,INJ,5.33,0.027,0.024,0.021,16026155,256116913,3/16/2022
MXC,MXC,0.104299,0,0.031,0.175,21346445,255853059,3/16/2022
WINkLink,WIN,0.000266334,0.011,0.02,-0.009,126343198,255157055,3/16/2022
WazirX,WRX,0.558123,0.012,-0.002,-0.073,7071983,254216018,3/16/2022
Perpetual Protocol,PERP,3.85,0.019,0.012,-0.009,8343005,251018197,3/16/2022
Mobox,MBOX,2.04,0.026,-0.024,0.06,38070293,250469440,3/16/2022
Astroport,ASTRO,2.02,0.034,-0.001,0.396,5991169,249658255,3/16/2022
Trust Wallet Token,TWT,0.721272,0.026,-0.084,0.065,45061838,248213542,3/16/2022
Serum,SRM,1.87,0.02,0.026,0.034,40405418,247791442,3/16/2022
Coin98,C98,1.34,0.024,0.035,0.066,52212880,247303702,3/16/2022
Mirror Protocol,MIR,1.71,0.016,-0.046,0.13,109251651,247146075,3/16/2022
Zipmex Token,ZMT,2.79,-0.002,0.004,-0.005,14206660,246790193,3/16/2022
Tribe,TRIBE,0.543192,0.011,0.01,0.029,8017450,246535822,3/16/2022
VVS Finance,VVS,2.23E-05,0.018,0.022,-0.087,3849460,235411080,3/16/2022
Metahero,HERO,0.045156504,0.023,0.034,-0.106,8366250,233755062,3/16/2022
Creditcoin,CTC,1.14,0.015,0.015,0.023,3179625,233390471,3/16/2022
Lido Staked SOL,STSOL,87.91,0.024,0.013,0.04,4624558,233265607,3/16/2022
API3,API3,4.7,0.028,-0.008,-0.101,29731985,230984150,3/16/2022
Escoin Token,ELG,3.37,0.024,0.021,0.051,685965,228752259,3/16/2022
Function X,FX,0.488809,0.019,0.005,-0.005,2065790,228173732,3/16/2022
Raydium,RAY,2.51,0.013,0.056,0.035,33025947,227133027,3/16/2022
CoinEx Token,CET,0.061152344,0.005,0.035,0.072,862651,226665111,3/16/2022
Euro Tether,EURT,1.1,0.004,0.008,0.012,25282592,226370344,3/16/2022
Fetch.ai,FET,0.327851,0.022,0.007,0.024,21546674,224454559,3/16/2022
Dent,DENT,0.002351314,0.023,0.017,0.008,18982568,223840664,3/16/2022
Chia,XCH,65.15,0.012,-0.021,-0.084,10252044,221396095,3/16/2022
Status,SNT,0.056745128,0.012,0.007,-0.034,7688360,219753630,3/16/2022
Power Ledger,POWR,0.503878,0.01,0.005,-0.023,32211271,216689443,3/16/2022
Medibloc,MED,0.040119248,0.011,0.025,0.025,7724520,215001420,3/16/2022
xSUSHI,XSUSHI,3.8,0.002,0.033,0.055,107293,213613208,3/16/2022
Chromia,CHR,0.37938,0.029,0.045,0.031,58407751,213564555,3/16/2022
Yield Guild Games,YGG,2.43,0.027,0.009,-0.057,17537941,212099797,3/16/2022
Telos,TLOS,0.819159,0.02,0.052,-0.096,4398496,212084558,3/16/2022
COTI,COTI,0.201515,0.017,0.048,0.008,15582614,210898806,3/16/2022
Alchemix USD,ALUSD,0.997171,-0.001,-0.001,0,3032734,208898318,3/16/2022
Celer Network,CELR,0.03706891,0.029,0.028,-0.003,35862409,208463091,3/16/2022
Orbs,ORBS,0.072194785,0.006,0.02,0.023,28204447,208178410,3/16/2022
Vulcan Forged,PYR,8.73,0.027,0.039,-0.044,38526780,207895650,3/16/2022
Energy Web Token,EWT,4.91,0.015,-0.009,0.042,2224285,205388247,3/16/2022
Astar,ASTR,0.10323,0.009,0.007,0.032,7991761,205235595,3/16/2022
Origin Protocol,OGN,0.434115,0.007,-0.068,0.612,182478529,205164994,3/16/2022
Cratos,CRTS,0.002952177,-0.009,-0.037,-0.13,13535131,203670465,3/16/2022
Ocean Protocol,OCEAN,0.469383,0.028,0.051,0.074,22022827,202627972,3/16/2022
XYO Network,XYO,0.016347118,0.001,0.009,-0.032,4569339,202482367,3/16/2022
Dopex,DPX,1126.14,0.034,0.006,0.031,4629323,200498616,3/16/2022
PLEX,PLEX,0.815228,0.013,0.028,-0.008,15377424,198958494,3/16/2022
LUKSO Token,LYXE,13.05,0.016,0.015,-0.001,1147300,198688328,3/16/2022
DAO Maker,DAO,2.19,0.012,-0.01,-0.042,3559341,196210425,3/16/2022
Boba Network,BOBA,1.21,0.007,0.061,0.136,4382013,192933914,3/16/2022
Mdex,MDX,0.223833,0.018,0.029,0.051,7274677,192821569,3/16/2022
UFO Gaming,UFO,7.53E-06,0.03,0.033,-0.009,5098371,191533622,3/16/2022
Ardor,ARDR,0.192938,0.014,0.02,-0.011,6272018,191059042,3/16/2022
Pundi X,PUNDIX,0.740085,0.014,0.022,-0.006,4296268,190637766,3/16/2022
Mask Network,MASK,4.05,0.032,0.07,0.023,46857218,189430950,3/16/2022
Kyber Network Crystal Legacy,KNCL,3.07,0.025,0.02,0,191301772,189342359,3/16/2022
Interest Bearing Bitcoin,IBBTC,40647.97,0.019,0.023,0.052,3253.9,187618251,3/16/2022
Coinmetro,XCM,0.609647,0.005,-0.055,-0.017,54700.31,184318822,3/16/2022
MX Token,MX,1.86,0.016,0.017,0.029,380193,184031159,3/16/2022
Reserve Rights Token,RSR,0.013806376,0.015,0.136,0.133,58160962,182389151,3/16/2022
Radicle,RAD,4.43,0.018,0.016,0.021,5082786,182383890,3/16/2022
Conflux,CFX,0.116231,0.02,0.007,-0.072,4957635,180397101,3/16/2022
Wonderland,TIME,196.83,0.017,0.011,-0.085,1483133,179963381,3/16/2022
XSGD,XSGD,0.73676,0.004,0.004,0.006,4120965,179572544,3/16/2022
MiL.k Alliance,MLK,0.81278,0.012,0.029,0.028,6771412,179537968,3/16/2022
Civic,CVC,0.268256,0.024,0.056,0.032,15009057,179389403,3/16/2022
Unibright,UBT,1.18,0.022,0.176,0.654,2875621,177414204,3/16/2022
Aragon,ANT,4.62,0.027,0.05,0.051,31404911,176410722,3/16/2022
Yoshi.exchange,YOSHI,1.34,0.038,0.135,0.244,3113291,173731724,3/16/2022
SuperFarm,SUPER,0.606166,0.025,0.012,0.023,15865086,173202752,3/16/2022
Divi,DIVI,0.06259334,-0.003,0.057,-0.041,232874,172881299,3/16/2022
BTSE Token,BTSE,8.42,0.006,0.012,0.127,1644847,170044358,3/16/2022
GMX,GMX,22.78,0.028,0.038,-0.062,3864455,168867621,3/16/2022
Request,REQ,0.218404,0.018,-0.001,0.122,18881863,168625356,3/16/2022
Multichain,MULTI,9.19,0.014,0.049,-0.195,1481745,168453270,3/16/2022
Ergo,ERG,3.26,0.006,0.004,0.082,945449,168320273,3/16/2022
Rari Governance Token,RGT,14.92,0.021,-0.025,0.02,590959,167699043,3/16/2022
FEG Token BSC,FEG,3.98E-09,0.028,0,0.05,505356,166612893,3/16/2022
Alchemy Pay,ACH,0.040564969,0.018,0.035,-0.003,9350241,166194387,3/16/2022
Numeraire,NMR,28.13,0.013,0.027,0,5247599,165855215,3/16/2022
Power Cash,PRCH,0.00054874,-0.01,-0.023,-0.007,107256,164420955,3/16/2022
Moonriver,MOVR,48.85,0.021,-0.025,-0.062,23687001,163974343,3/16/2022
sBTC,SBTC,40609.35,0.02,0.026,0.054,1195100,162541982,3/16/2022
Cartesi,CTSI,0.311626,0.02,-0.01,0.02,16935581,161866858,3/16/2022
JOE,JOE,0.883671,0.032,0.035,-0.097,8255024,161542087,3/16/2022
Veritaseum,VERI,75.29,0.034,0.502,0.4,128316,161292251,3/16/2022
Bifrost,BFC,0.149179,0.013,0.017,0.01,1366910,157313585,3/16/2022
inSure DeFi,SURE,0.005989953,0.025,0.121,0.163,1229192,156870603,3/16/2022
Aurora,AURORA,6.85,-0.001,-0.02,-0.059,1292731,155499279,3/16/2022
AscendEx Token,ASD,0.210282,0.006,-0.012,-0.03,2234800,154656421,3/16/2022
Reef Finance,REEF,0.008455524,0.024,0.025,0.034,21823319,153505883,3/16/2022
World Mobile Token,WMT,0.656382,0.002,0.005,-0.005,1215991,153058923,3/16/2022
Mango,MNGO,0.148804,0.021,0.011,-0.026,535237,152354623,3/16/2022
Beldex,BDX,0.101366,0.018,0.013,0.44,172723,152144019,3/16/2022
Poollotto.finance,PLT,17.61,0.004,0.004,0.015,737205,152110576,3/16/2022
Biconomy,BICO,1.31,0.012,0.077,0.035,29389338,151360962,3/16/2022
FEG Token,FEG,3.71E-09,0.017,0.009,0.024,1093047,151073649,3/16/2022
BNB48 Club Token,KOGE,75.36,,,,,151006279,3/16/2022
Ion,ION,7053.41,0.007,0.001,-0.143,100410,150512232,3/16/2022
MMFinance,MMF,1.1,0.015,0.043,0.325,41252022,150442869,3/16/2022
Origin Dollar,OUSD,0.993428,0.001,-0.002,0.001,886336,150338408,3/16/2022
Verge,XVG,0.00912706,0.024,0.027,-0.047,4578538,149908633,3/16/2022
Kishu Inu,KISHU,1.54E-09,0.046,0.094,0.147,7104908,149823531,3/16/2022
Band Protocol,BAND,3.62,0.027,0.05,0.043,25806815,149778191,3/16/2022
Tokamak Network,TON,3.57,0.01,0.025,-0.024,2216118,149004019,3/16/2022
Storj,STORJ,1.04,0.023,0.042,0.106,29384442,147999404,3/16/2022
VeThor Token,VTHO,0.003245193,0.021,-0.004,0.062,5301268,147086117,3/16/2022
USDX,USDX,0.969027,0.008,0.015,0.001,876536,146788183,3/16/2022
OriginTrail,TRAC,0.400529,0.016,0.009,-0.042,2381151,146343514,3/16/2022
Merit Circle,MC,2.09,0.025,0.068,0.036,25892084,146317069,3/16/2022
aelf,ELF,0.318783,0.018,0.016,-0.012,12922826,145914636,3/16/2022
Akash Network,AKT,1.09,0.016,-0.001,0.019,1755865,145104697,3/16/2022
